t;m;Vx;Vy;x;y;H;V;vartheta;theta;alpha;Mach;q;X;Y;Mz;omega;stage
0.0000;29724.000;0.0000;0.0000;0.000;0.000;0.000;0.0000;90.0000;0.0000;90.0000;0.00000;0.0000;0.000;0.000;-0.000;0.000000;1
0.1000;29693.802;-0.0000;1.2677;0.000;0.063;0.063;1.2677;90.0000;90.0000;-0.0000;0.00373;0.9844;0.645;-0.000;0.002;0.000000;1
0.2000;29663.605;-0.0000;2.5378;0.000;0.254;0.254;2.5378;90.0000;90.0000;-0.0000;0.00746;3.9446;2.585;-0.001;0.007;0.000000;1
0.3000;29633.407;-0.0000;3.8101;0.000;0.571;0.571;3.8101;90.0000;90.0000;-0.0000;0.01120;8.8911;5.827;-0.001;0.016;0.000000;1
0.4000;29603.210;-0.0000;5.0847;0.000;1.016;1.016;5.0847;90.0000;90.0000;-0.0000;0.01494;15.8343;10.378;-0.002;0.028;0.000000;1
0.5000;29573.012;-0.0000;6.3617;0.000;1.588;1.588;6.3617;90.0000;90.0000;-0.0000;0.01869;24.7845;16.243;-0.004;0.044;0.000000;1
0.6000;29542.814;-0.0000;7.6409;0.000;2.288;2.288;7.6409;90.0000;90.0000;-0.0000;0.02245;35.7519;23.431;-0.006;0.063;0.000000;1
0.7000;29512.617;-0.0000;8.9224;0.000;3.116;3.116;8.9224;90.0000;90.0000;-0.0000;0.02622;48.7464;31.947;-0.008;0.086;0.000000;1
0.8000;29482.419;-0.0000;10.2063;0.000;4.073;4.073;10.2063;90.0000;90.0000;-0.0000;0.02999;63.7782;41.799;-0.010;0.113;0.000000;1
0.9000;29452.222;-0.0000;11.4925;0.000;5.158;5.158;11.4925;90.0000;90.0000;-0.0000;0.03377;80.8571;52.992;-0.013;0.143;0.000000;1
1.0000;29422.024;-0.0000;12.7810;0.000;6.371;6.371;12.7810;90.0000;90.0000;-0.0000;0.03756;99.9927;65.533;-0.016;0.176;0.000000;1
1.1000;29391.827;-0.0000;14.0718;0.000;7.714;7.714;14.0718;90.0000;90.0000;-0.0000;0.04136;121.1948;79.429;-0.019;0.214;0.000000;1
1.2000;29361.629;-0.0000;15.3650;0.000;9.186;9.186;15.3650;90.0000;90.0000;-0.0000;0.04516;144.4729;94.685;-0.023;0.255;0.000000;1
1.3000;29331.431;-0.0000;16.6605;0.000;10.787;10.787;16.6605;90.0000;90.0000;-0.0000;0.04897;169.8364;111.307;-0.027;0.300;0.000000;1
1.4000;29301.234;-0.0000;17.9583;0.000;12.518;12.518;17.9583;90.0000;90.0000;-0.0000;0.05278;197.2945;129.303;-0.031;0.348;0.000000;1
1.5000;29271.036;-0.0000;19.2585;0.000;14.379;14.379;19.2585;90.0000;90.0000;-0.0000;0.05660;226.8565;148.677;-0.036;0.400;0.000000;1
1.6000;29240.839;-0.0000;20.5610;0.000;16.370;16.370;20.5610;90.0000;90.0000;-0.0000;0.06043;258.5315;169.436;-0.041;0.456;0.000000;1
1.7000;29210.641;-0.0000;21.8659;0.000;18.491;18.491;21.8659;90.0000;90.0000;-0.0000;0.06427;292.3282;191.586;-0.046;0.516;0.000000;1
1.8000;29180.443;-0.0000;23.1732;0.000;20.743;20.743;23.1732;90.0000;90.0000;-0.0000;0.06811;328.2557;215.132;-0.052;0.579;0.000000;1
1.9000;29150.246;-0.0000;24.4828;0.000;23.126;23.126;24.4828;90.0000;90.0000;-0.0000;0.07196;366.3224;240.081;-0.058;0.646;0.000000;1
2.0000;29120.048;-0.0000;25.7948;0.000;25.640;25.640;25.7948;90.0000;90.0000;-0.0000;0.07582;406.5371;266.436;-0.064;0.717;0.000000;1
2.1000;29089.851;-0.0000;27.1091;0.000;28.285;28.285;27.1091;90.0000;90.0000;-0.0000;0.07969;448.9081;294.206;-0.071;0.792;0.000000;1
2.2000;29059.653;-0.0000;28.4259;0.000;31.061;31.061;28.4259;90.0000;90.0000;-0.0000;0.08356;493.4438;323.393;-0.078;0.871;0.000000;1
